yearOfRegistration,Datasource,gender,ageBroad,majorityStatus,citizenship
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,MD
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,18--20,Adult,RO
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,MD
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,RO
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,21--23,Adult,UA
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,CO
2002,Case Management,Female,24--26,Adult,MD
2002,Case Management,Female,24--26,Adult,MD
2002,Case Management,Female,24--26,Adult,MD
2002,Case Management,Female,24--26,Adult,MD
2002,Case Management,Female,24--26,Adult,MD
2002,Case Management,Female,24--26,Adult,MD
2002,Case Management,Female,24--26,Adult,MD
